 Destination Port, Flow Duration, Total Fwd Packets,Total Length of Fwd Packets, Fwd Packet Length Max, Fwd Packet Length Min, Fwd Packet Length Mean,Bwd Packet Length Max, Bwd Packet Length Min,Flow Bytes/s, Flow Packets/s, Flow IAT Mean, Flow IAT Std, Flow IAT Max, Flow IAT Min, Fwd IAT Mean, Fwd IAT Std, Fwd IAT Min,Bwd IAT Total, Bwd IAT Mean, Bwd IAT Std, Bwd IAT Max, Bwd IAT Min,Fwd PSH Flags, Bwd PSH Flags, Fwd URG Flags, Bwd URG Flags,Fwd Packets/s, Bwd Packets/s, Min Packet Length, Max Packet Length, Packet Length Mean, Packet Length Variance,FIN Flag Count, RST Flag Count, PSH Flag Count, ACK Flag Count, URG Flag Count, Down/Up Ratio, act_data_pkt_fwd,Active Mean, Active Std, Active Max, Active Min, Idle Std, Label
80.0,1150000.0,146837.0,8222876.0,60.0,56.0,56.000027241090464,60.0,0.0,10980779.130434783,191525.21739130435,7.831866844643003,11.075932310394313,1000.0,0.0,15.663733689286007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,127684.34782608696,63840.8695652174,56.0,60.0,57.333333333333336,5.333333333333335,0.0,1.0,0.0,1.0,0.0,0.4999897845910772,146837.0,1150000.0,0.0,1150000.0,1150000.0,0.0,DoS
80.0,1058000.0,143455.0,8033484.0,60.0,56.0,56.000027883308356,60.0,0.0,11660722.117202267,203384.68809073724,7.375186470924478,10.43008873221196,1000.0,0.0,14.750372941848957,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,135590.7372400756,67793.95085066163,56.0,60.0,57.333333333333336,5.333333333333335,0.0,1.0,0.0,1.0,0.0,0.49998954375936705,143455.0,1058000.0,0.0,1058000.0,1058000.0,0.0,DoS
80.0,1017000.0,136749.0,7657948.0,60.0,56.0,56.000029250670934,60.0,0.0,11563744.346116029,201693.21533923305,7.437037470383479,10.517559254493213,1000.0,0.0,14.874074940766958,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,134463.12684365784,67230.08849557523,56.0,60.0,57.333333333333336,5.333333333333334,0.0,1.0,0.0,1.0,0.0,0.49998903099839853,136749.0,1017000.0,0.0,1017000.0,1017000.0,0.0,DoS
80.0,1354000.0,185525.0,10389404.0,60.0,56.0,56.0000215604366,60.0,0.0,11783651.40324963,205528.8035450517,7.298247127056338,10.32128006863355,1000.0,0.0,14.596494254112676,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,137019.94091580503,68508.86262924667,56.0,60.0,57.333333333333336,5.333333333333335,0.0,1.0,0.0,1.0,0.0,0.4999919148362754,185525.0,1354000.0,0.0,1354000.0,1354000.0,0.0,DoS
80.0,1266000.0,155476.0,8706664.0,60.0,56.0,56.00005145488693,60.0,0.0,10561424.960505528,184210.90047393364,8.142840603573587,11.515715617816088,1000.0,0.0,16.285681207147174,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,122808.8467614534,61402.05371248025,56.0,60.0,57.333333333333336,5.333333333333336,0.0,1.0,0.0,1.0,0.0,0.49998070441740206,155476.0,1266000.0,0.0,1266000.0,1266000.0,0.0,DoS
80.0,989000.0,129613.0,7258332.0,60.0,56.0,56.0000308611019,60.0,0.0,11270608.695652174,196580.3842264914,7.630466314847391,10.791108949688232,1000.0,0.0,15.260932629694782,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,131054.60060667341,65525.783619818,56.0,60.0,57.333333333333336,5.333333333333333,0.0,1.0,0.0,1.0,0.0,0.49998842708678914,129613.0,989000.0,0.0,989000.0,989000.0,0.0,DoS
80.0,1249000.0,164052.0,9186916.0,60.0,56.0,56.00002438251286,60.0,0.0,11295913.53082466,197021.61729383506,7.613068389613557,10.76650456786539,1000.0,0.0,15.226136779227113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,131346.6773418735,65674.93995196157,56.0,60.0,57.33337126137841,5.333528383924582,0.0,1.0,0.0,1.0,0.0,0.5000121912564309,164052.0,1249000.0,0.0,1249000.0,1249000.0,0.0,DoS
80.0,1307000.0,156144.0,8744068.0,60.0,56.0,56.00002561737883,60.0,0.0,10274206.579954093,179201.22417750573,8.370371319150026,11.837492641640742,1000.0,0.0,16.740742638300052,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,119467.48278500383,59733.741392501914,56.0,60.0,57.33335041158589,5.333435801536171,0.0,1.0,0.0,1.0,0.0,0.5,156144.0,1307000.0,0.0,1307000.0,1307000.0,0.0,DoS
80.0,1068000.0,135345.0,7579324.0,60.0,56.0,56.000029554102476,60.0,0.0,10898486.891385768,190089.88764044942,7.891003664735784,11.159564403405144,1000.0,0.0,15.782007329471568,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,126727.52808988764,63362.35955056179,56.0,60.0,57.333333333333336,5.333333333333334,0.0,1.0,0.0,1.0,0.0,0.4999889172115704,135345.0,1068000.0,0.0,1068000.0,1068000.0,0.0,DoS
80.0,1310000.0,144267.0,8078956.0,60.0,56.0,56.00002772636847,60.0,0.0,9470897.709923664,165190.07633587785,9.08044861575146,12.841693584827711,1000.0,0.0,18.16089723150292,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,110127.48091603053,55062.59541984733,56.0,60.0,57.333333333333336,5.333333333333335,0.0,1.0,0.0,1.0,0.0,0.4999896026118239,144267.0,1310000.0,0.0,1310000.0,1310000.0,0.0,DoS
80.0,1017000.0,111326.0,6234260.0,60.0,56.0,56.00003593051039,60.0,0.0,9413942.969518192,164196.656833825,9.13533226739486,12.919310789334368,1000.0,0.0,18.27066453478972,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,109465.09341199607,54731.56342182891,56.0,60.0,57.333341317939016,5.333381240680524,0.0,1.0,0.0,1.0,0.0,0.49999101737240176,111326.0,1017000.0,0.0,1017000.0,1017000.0,0.0,DoS
80.0,1375000.0,160227.0,8972716.0,60.0,56.0,56.0000249645815,60.0,0.0,10021451.636363637,174792.72727272726,8.581521332101756,12.136103853652331,1000.0,0.0,17.163042664203513,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,116528.72727272728,58264.0,56.0,60.0,57.33334442872597,5.333399905135184,0.0,1.0,0.0,1.0,0.0,0.4999968794273125,160227.0,1375000.0,0.0,1375000.0,1375000.0,0.0,DoS
80.0,1414000.0,164390.0,9205848.0,60.0,56.0,56.000048664760634,60.0,0.0,9998138.613861388,174386.1386138614,8.6016010901039,12.164500919748138,1000.0,0.0,17.2032021802078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,116258.84016973127,58127.29844413013,56.0,60.0,57.333333333333336,5.333333333333335,0.0,1.0,0.0,1.0,0.0,0.4999817507147637,164390.0,1414000.0,0.0,1414000.0,1414000.0,0.0,DoS
80.0,1163000.0,144814.0,8109588.0,60.0,56.0,56.00002762163879,60.0,0.0,10708519.346517626,186776.44024075667,8.030769655705782,11.357223363393432,1000.0,0.0,16.061539311411565,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,124517.6268271711,62258.81341358555,56.0,60.0,57.333351747759195,5.333406989002289,0.0,1.0,0.0,1.0,0.0,0.5,144814.0,1163000.0,0.0,1163000.0,1163000.0,0.0,DoS
80.0,1084000.0,144491.0,8091500.0,60.0,56.0,56.00002768338513,60.0,0.0,11463394.833948338,199942.80442804427,7.501730103806228,10.609048454065295,1000.0,0.0,15.003460207612456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,133294.28044280442,66648.52398523985,56.0,60.0,57.33337024425804,5.333480968858133,0.0,1.0,0.0,1.0,0.0,0.5000103812694217,144491.0,1084000.0,0.0,1084000.0,1084000.0,0.0,DoS
80.0,1155000.0,122699.0,6871148.0,60.0,56.0,56.00003260010269,60.0,0.0,9136318.614718614,159354.11255411254,9.420431579633613,13.299452791728207,1000.0,0.0,18.808266510202753,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,106232.90043290042,53121.21212121212,56.0,60.0,57.333434752844276,5.333941804115871,0.0,1.0,0.0,1.0,0.0,0.5000448251411992,122699.0,1155000.0,0.0,1155000.0,1155000.0,0.0,DoS
80.0,1326000.0,162590.0,9105044.0,60.0,56.0,56.00002460175902,60.0,0.0,10544965.309200604,183923.8310708899,8.155282482748442,11.533311092086572,1000.0,0.0,16.310564965496884,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,122616.89291101055,61306.93815987933,56.0,60.0,57.33332786623094,5.333202127179766,0.0,1.0,0.0,1.0,0.0,0.49998769912048713,162590.0,1326000.0,0.0,1326000.0,1326000.0,0.0,DoS
80.0,1413000.0,143903.0,8058572.0,60.0,56.0,56.00002779650181,60.0,0.0,8758366.595895259,152762.20806794055,9.819182499200846,13.886421061786379,1000.0,0.0,19.63836499840169,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,101842.1797593772,50920.02830856334,56.0,60.0,57.333333333333336,5.333333333333335,0.0,1.0,0.0,1.0,0.0,0.49998957631182117,143903.0,1413000.0,0.0,1413000.0,1413000.0,0.0,DoS
